ORF,AA1301_3D7,AA1302_3D7,AA1303_3D7,AA1304_3D7,AA1305_3D7,AA1306_3D7,AA1307_3D7,AA1308_3D7,AA1309_3D7,AA1310_3D7,AA1311_3D7,AA1312_3D7,AA1313_3D7,AA1314_3D7,AA1315_3D7,AA1316_3D7,AA1701_3D7,AA1702_3D7,AA1703_3D7,AA1704_3D7,AA1705_3D7,AA1706_3D7,AA1707_3D7,AA1708_3D7,AA1709_3D7,AA1710_3D7,AA1711_3D7,AA1712_3D7,AA1713_3D7,AA1714_3D7,AA1715_3D7,AA1716_3D7,AS1501_3D7,AS1502_3D7,AS1503_3D7,AS1504_3D7,AS1505_3D7,AS1506_3D7,AS1507_3D7,AS1508_3D7,AS1509_3D7,AS1510_3D7,AS1511_3D7,AS1512_3D7,AS1513_3D7,AS1514_3D7,AS1515_3D7,AS1516_3D7,AS1601_3D7,AS1602_3D7,AS1603_3D7,AS1604_3D7,AS1605_3D7,AS1606_3D7,AS1607_3D7,AS1608_3D7,AS1609_3D7,AS1610_3D7,AS1611_3D7,AS1612_3D7,AS1613_3D7,AS1614_3D7,AS1615_3D7,AS1616_3D7
PF3D7_1371700,2.7330200000000002,1.5265790000000001,0.652518,1.6564150000000002,1.1306379999999998,1.150447,1.068914,1.246351,1.263902,1.731773,6.580783,7.180363000000001,8.418687,8.830655,17.699302,13.423310999999998,2.434406,3.174073,1.849818,1.4597209999999998,0.9045059999999999,1.1259709999999998,1.075392,0.9153450000000001,1.431892,2.229651,6.803039999999999,10.534447,11.214328,11.365099,12.162229,8.464339,3.0208180000000002,2.98467,2.226077,1.602201,1.8990619999999998,1.818043,0.940742,1.513677,1.526888,2.827706,4.126229,5.880026,9.723746,8.02924,12.300709,13.599519,4.24949,1.425395,1.7970669999999997,2.5512799999999998,0.9232379999999999,0.7837850000000001,1.561504,1.265,2.703677,3.423725,6.136018,8.831796,8.020847999999999,6.612800999999999,13.32218,15.81285
PF3D7_1371800,4.649478,5.880284,6.157544000000001,12.498610000000001,15.063618,11.168405,15.194657000000001,19.96987,32.230744,45.700631,92.885384,134.34221599999998,152.573933,129.18244199999998,191.534355,129.88748,3.704453,7.9245,9.578033,11.92105,13.061422,16.026181,13.917251,19.411587,38.83695,54.035037,115.28436200000002,150.617754,165.324485,163.240061,166.906443,106.85381299999999,3.3794410000000004,10.944927999999999,14.169932000000001,18.442848,17.086348,16.327502,14.340329,23.915945,33.860937,53.848115,68.45848000000001,112.414833,170.950358,168.78096000000002,216.53366699999998,180.43468000000001,4.339022,9.70026,13.889909,22.127757,14.677847,19.278344,20.692625,27.474985999999998,44.743856,58.281003000000005,101.53583,142.97762,147.27586100000002,136.486332,200.761394,257.17635099999995
PF3D7_1371900,2.6697029999999997,1.062863,1.499951,2.607792,4.546729,3.978047,6.400096,6.643714999999999,7.344558999999999,12.486538000000001,22.944254,31.06018,28.60274,20.704734,37.731202,22.728047,2.314552,2.5422990000000003,2.585953,3.061153,4.7010879999999995,5.885178,5.151081,7.048800999999999,9.071883,16.303576,29.170737,35.171831,31.554405,25.408642999999998,30.400703999999998,20.271766,1.9747270000000001,2.6380310000000002,1.265938,3.3811139999999997,5.043725,6.402369,4.510671,5.799771,8.529849,15.382609,18.371217,23.542745999999998,27.549831,24.456623999999998,52.451646999999994,32.286165999999994,1.114595,3.601325,2.3890279999999997,4.349428,3.501835,4.872708,4.684836,8.303951,13.551048000000002,12.898168,23.089825,27.939689,21.893495,21.133072,38.915294,10.550481
PF3D7_1372000,34.488739,40.785168,70.61669499999999,108.47726899999999,219.24636800000002,170.533692,244.225918,162.129638,118.30662,72.762198,44.237155,23.621764000000002,9.475977,6.535165,5.083344,4.8779330000000005,27.208113,38.311279,72.338884,120.58661699999999,167.869073,177.183999,241.120626,171.98683,125.852034,78.498756,27.790698,16.965809,10.19074,7.775155000000001,4.128876,4.349493,27.401740000000004,60.566809,69.185749,130.603983,134.88898500000002,135.911066,220.773908,160.220628,136.5524,81.840977,41.480149,25.528755,13.864920999999999,10.051397,6.431115,6.1393260000000005,23.324867,63.700495999999994,81.28659300000001,123.620294,120.82696999999999,245.972518,219.89654500000003,210.17307799999998,139.093858,84.177047,42.643487,28.987586999999998,21.251874,15.393829,15.617275,17.654624
PF3D7_1372100,34.099303000000006,21.775348,17.476399,20.687998,27.375033000000002,13.484839000000001,13.244735,10.054443,8.241389,7.168552,7.2402690000000005,7.528434,8.954827,8.679673,19.402213,17.003114,28.839756,26.50037,19.37539,20.451496,20.09029,17.343179,12.833207000000002,11.690175,9.892767,7.8941360000000005,6.65455,7.7005,9.921833,10.465941,16.558964000000003,16.506677,20.092126999999998,29.984084999999997,27.580284999999996,22.782515,20.1155,15.622894,11.862283999999999,12.358609,10.213958,9.322258999999999,5.745054,5.912482,8.623486,10.791274000000001,13.716207999999998,19.329092000000003,24.698129,30.114455,23.638591,27.716358000000003,20.185219,26.925775,20.228095,13.597675,10.379372,9.997803999999999,7.521033,8.307099000000001,10.719476,10.005766,22.069476,31.251348999999998
PF3D7_1372200,1115.545597,1974.551254,2167.233193,4805.3176189999995,4435.849785,9778.647272,8077.123087000001,12301.748682,9870.573786,9820.780402,6445.189009000001,4021.0091049999996,1049.467949,633.352045,204.852146,140.335831,898.343968,1837.7863530000002,3935.015285,4268.380763,5838.832861,9444.014401,10395.328988,11203.376204,10009.30614,8875.06388,5122.84422,3181.370469,1414.761726,621.774688,172.238051,114.890212,1299.848742,2240.108936,3680.6676369999996,4364.926054,7320.202906999999,8759.695173,10889.806456999999,12688.395653,9612.23705,8482.080612,7570.141791,4876.260981,1464.193176,662.068695,309.69876,186.733776,1539.0270480000001,1520.766266,3576.4120009999997,5346.807231000001,7327.375236,5387.67368,10979.626092,7888.627723999999,10233.335035,7948.84606,5229.543646,2999.446795,1918.411002,1083.9273449999998,431.338447,360.634554
PF3D7_1372300,1062.24947,935.9281470000001,1031.22615,745.158787,800.6580190000001,553.911882,651.7301150000001,521.83,358.962808,306.798478,246.66153599999998,171.48296200000001,83.615429,73.093809,53.402058,49.679934,1005.5071109999999,965.192705,881.521834,737.897914,734.907483,579.8334150000001,597.495566,569.5477080000001,369.708319,278.30780899999996,167.389359,125.02333600000001,82.53616600000001,78.49382800000001,55.979991000000005,44.047404,776.653685,1114.0573060000002,875.338607,720.5508,643.9457269999999,613.161778,523.42445,497.065808,351.162177,307.555172,240.659681,154.627006,98.51126500000001,99.021879,89.015477,76.965971,789.8072530000001,1115.901844,831.609179,718.263599,675.889186,691.2709629999999,583.805058,606.920614,316.026953,276.28205299999996,214.35241800000003,142.040477,138.06136899999998,144.753479,131.295989,128.996951
PF3D7_1372400,0.948786,0.628506,1.4618010000000001,1.9607700000000001,3.047613,1.229296,2.1711869999999998,2.402617,1.914909,2.129161,2.700272,3.0906439999999997,5.901528,8.881607,15.37129,20.521187,1.276745,1.490299,1.0040120000000001,1.240151,1.838027,1.521722,1.642405,2.5694310000000002,2.708748,3.020091,2.515807,3.1019189999999996,6.100819,9.275124,14.059733999999999,20.414434,0.9004190000000001,1.138257,1.55386,1.36143,1.638436,1.1647239999999999,1.4122,2.647118,2.210097,2.931231,2.6460060000000003,2.2570799999999998,6.074559,7.787602000000001,8.020725,13.544214000000002,1.148287,1.129744,1.114235,1.319825,1.179751,1.874094,1.8229240000000002,3.465207,2.969231,3.4685910000000004,3.4085589999999995,3.7775879999999997,5.627008999999999,7.6360149999999996,11.289974,16.081754999999998
PF3D7_1372500,9.440188000000001,9.616876,8.876375,14.060433999999999,16.043078,12.391661000000001,20.220277,27.930135999999997,34.182714000000004,56.842797999999995,133.065214,138.514855,91.20826,51.451279,34.612764,20.981734,5.871108,12.116052,13.739096,13.243207,14.891404999999999,16.661145,16.618137,27.053725,43.506931,77.93842099999999,151.630932,148.15553500000001,114.591452,64.47221400000001,29.045327,15.03634,7.660342999999999,13.049216,13.561411999999999,13.743534,15.055152,11.756233,18.983567,31.735071,40.231308,66.667248,90.59626899999999,139.302359,112.962802,60.02405400000001,45.828699,27.970251,7.066986999999999,14.039654999999998,13.886584,12.075723,11.682317999999999,21.610741,21.00751,35.627837,46.324515999999996,66.56558299999999,113.11136499999999,124.435949,109.387346,71.646567,53.16617900000001,32.834768
PF3D7_1372600,2.7736549999999998,3.7726300000000004,2.615421,5.865344,4.49326,4.545226,7.690194,8.813725,11.296267,20.523819,42.230465,41.128275,33.588638,25.23471,17.190755,10.035165,2.03475,4.238487999999999,4.5776769999999996,5.276441999999999,5.978495,5.759043,7.409533000000001,10.830278,13.238211999999999,23.372772,45.646679999999996,47.138602,39.866457000000004,28.184896000000002,13.439638,8.060045,3.270598,4.848024,3.745646,5.48992,6.831714,2.902647,6.707514,12.774545,12.105360000000001,23.036901,35.047944,45.723597,32.725632,26.98501,19.505676,13.131898999999999,3.4978769999999995,3.066989,4.799069,5.944605,3.921657,5.62322,8.685407000000001,12.273891,16.128473,25.556397,39.999475,37.569312,38.740186,32.74237,26.469410999999997,6.974249
