ORF,AA1301_FUP,AA1302_FUP,AA1303_FUP,AA1304_FUP,AA1305_FUP,AA1306_FUP,AA1307_FUP,AA1308_FUP,AA1309_FUP,AA1310_FUP,AA1311_FUP,AA1312_FUP,AA1313_FUP,AA1314_FUP,AA1315_FUP,AA1316_FUP,AA1701_FUP,AA1702_FUP,AA1703_FUP,AA1704_FUP,AA1705_FUP,AA1706_FUP,AA1707_FUP,AA1708_FUP,AA1709_FUP,AA1710_FUP,AA1711_FUP,AA1712_FUP,AA1713_FUP,AA1714_FUP,AA1715_FUP,AA1716_FUP,AS1801_FUP,AS1802_FUP,AS1803_FUP,AS1804_FUP,AS1805_FUP,AS1806_FUP,AS1807_FUP,AS1808_FUP,AS1809_FUP,AS1810_FUP,AS1811_FUP,AS1812_FUP,AS1813_FUP,AS1814_FUP,AS1815_FUP,AS1816_FUP,AS1901_FUP,AS1902_FUP,AS1903_FUP,AS1904_FUP,AS1905_FUP,AS1906_FUP,AS1907_FUP,AS1908_FUP,AS1909_FUP,AS1910_FUP,AS1911_FUP,AS1912_FUP,AS1913_FUP,AS1914_FUP,AS1915_FUP,AS1916_FUP
PF3D7_0206200,27.192366999999997,19.422981,20.255489,17.041729,11.819771000000001,9.128302,7.818273,4.3936779999999995,6.960069,6.604189999999999,8.834719999999999,8.18164,9.408971000000001,20.993000000000002,45.290118,75.791712,22.483876000000002,19.670149,19.998615,19.789395000000003,13.184363000000001,9.889617999999999,7.590186999999999,4.09046,5.209306,6.642195,7.36512,8.98596,9.854632,21.860597,49.653826,103.12087700000001,27.323959999999996,20.007324,15.918961,19.829386,12.520889,8.266217999999999,6.448059,5.121675,7.812072,8.495612,10.491688,9.851999000000001,10.972891,24.840231,40.485299,59.713843000000004,29.846961,24.536693,18.666114,17.596104,13.466652999999999,10.435694999999999,6.271422,6.247515,8.151785,8.674244,8.128882,8.707094,10.451959,18.161562,29.027507,39.086314
PF3D7_0206300,5.631076,19.806634,39.376321999999995,45.10028,38.847063,47.260934999999996,38.539001,34.899462,33.552258,26.606839,30.608268,34.906073,26.980515000000004,23.137767,18.314685,14.495042999999999,5.406013,23.497493,43.246686,45.591093,47.148194000000004,46.388645000000004,42.419838,35.834057,32.871033000000004,32.023769,32.381238,35.755657,38.623948,19.964121,13.670936,12.668864,5.149381,27.055358000000002,41.902353000000005,50.552163,47.39693,48.884285999999996,43.698260999999995,42.695551,37.537448,35.049893,35.142394,34.80093,28.665945,35.018568,27.775521,29.872981,5.565932,19.61882,42.122488,47.098873,45.08705,46.894707000000004,44.452156,36.42716,45.947845,43.630569,38.019824,36.454244,33.078049,37.735119,26.229089000000002,38.433892
PF3D7_0206500,149.065567,102.319888,112.75120700000001,105.18358700000002,80.821028,82.415678,67.3635,71.78461800000001,84.757306,79.640834,68.656205,59.423154000000004,45.085736,54.365381000000006,54.29835,44.628337,154.453113,104.750457,117.12298600000001,101.928931,94.734638,82.240723,67.089963,75.571534,82.92889100000001,84.14752299999999,65.763965,62.802852,54.802076,53.585449,46.141754,44.094501,163.707918,120.816856,105.043278,119.785133,100.956514,90.834715,78.468652,76.247425,78.989172,78.276741,77.87360799999999,65.510788,46.847116,77.038168,64.201672,62.642883999999995,175.394046,106.329776,112.988927,117.571499,95.298859,83.196802,73.768578,66.138184,96.05536,96.974558,71.440534,65.657802,51.706385,66.175575,62.212281999999995,76.776247
PF3D7_0206600,75.651974,6.734827,31.648718,17.816895000000002,17.206719,9.874608,8.302367,25.309798,36.007232,27.631177,32.779629,26.416196000000003,21.451203,24.600324,23.567785,17.623704,58.992662,17.849804000000002,26.015057000000002,20.374268,17.540279,17.060856,10.586564,17.489774,29.200003000000002,34.936676,26.940582,26.107615,20.017515,24.033510999999997,22.102532999999998,21.549195,19.758729000000002,19.880513,23.360082000000002,19.029691,21.333178,10.576039999999999,22.022033,28.742490000000004,22.863899,31.56495,28.302234999999996,23.634334,16.969693,28.032511,27.231464000000003,25.354665,22.937929999999998,8.498088000000001,16.360257999999998,23.414429000000002,25.214064999999998,15.631104,10.429642999999999,11.779565,25.28624,39.656954,33.579097999999995,29.516089,24.731427,21.05797,28.138476,40.453221
PF3D7_0206700,156.91086,116.17006200000002,99.8961,84.277684,70.58806700000001,60.148565000000005,45.051338,69.184208,82.41471700000001,83.717556,93.340724,75.571352,77.437438,64.958546,51.654159,36.565562,149.506897,106.586317,112.696546,78.97880699999999,67.995733,52.755787,45.776619000000004,72.454912,76.686853,83.707362,79.424299,89.230006,89.341675,57.847942,43.072153,30.283463,140.043389,117.108473,103.889997,92.565543,75.465908,55.239431,47.195510999999996,75.68177299999999,95.688878,95.53501700000001,81.765506,73.882012,70.982646,70.618833,73.748283,62.156473,139.213681,115.240499,109.017223,109.88481100000001,77.849184,58.347113,47.848125,70.17764,92.063172,92.891026,79.20428100000001,82.552436,75.15499100000001,72.771532,76.69673399999999,79.050302
PF3D7_0206800,706.749353,178.711015,147.718579,75.856047,43.790731,29.253476000000003,17.3444,15.522108,15.600148999999998,10.572861,14.877279000000001,14.690764000000001,35.097158,618.781745,1627.9899,3099.6066,638.908506,182.483997,111.69683799999999,67.678333,42.8938,22.433273,16.128312,14.653292,11.122968,10.454028,10.393224,13.245557999999999,30.101127,859.3838820000001,2208.618487,4242.435727,572.502025,197.56671699999998,129.229839,76.906099,52.178117,31.59645,39.249478,16.12294,10.882372,11.97935,14.811413,16.850135,36.481438,587.2996469999999,1349.8334869999999,1971.9596530000001,589.8991139999999,209.89380099999997,119.58516100000001,59.128713,51.001706,28.695047,18.009912,16.639155,15.664771,17.004878,19.767072,26.375405999999998,53.83954,316.788167,797.808184,1300.3600609999999
PF3D7_0206900.1,49.246151,30.074637,16.435878,12.965152999999999,5.169605000000001,3.3139269999999996,0.0,2.740265,1.8070959999999998,4.367972,7.205054,8.754151,16.325098,34.021396,32.066303999999995,72.682567,36.746626,29.504891999999998,13.210806,6.499583,6.922728,5.064389,2.56756,1.457792,0.94096,4.474064,7.683239,12.562271,15.820694,26.791762,34.903595,116.220436,43.703558,39.458052,15.170181,11.293111,10.684313000000001,1.4020540000000001,0.0,0.0,3.1863580000000002,3.204637,0.44123599999999996,10.944929,11.704667,31.782087,47.905797,81.190748,44.347334000000004,35.395065,17.501829999999998,14.052980999999999,8.178722,5.029001999999999,1.951416,1.734661,4.063556,8.690819,10.495558,9.568425,8.946394999999999,24.161693,32.840465,36.272355
PF3D7_0206900.2,0.0,5.496308,0.0,0.0,0.0,0.0,2.3098330000000002,0.0,5.142599,6.956003,16.475869,24.404589,27.111194,34.361921,45.592648,41.570602,7.830010000000001,1.70182,1.4043860000000001,6.011549,0.0,0.0,0.0,1.8579419999999998,12.077527,12.891248,19.423614,25.811821,42.644735,34.293238,44.079658,51.047309000000006,0.0,1.7094479999999999,0.0,3.228148,0.0,4.0838790000000005,2.6945330000000003,2.330619,5.965541,8.715873,19.893808,11.484527,22.859519,27.189828000000002,36.26548,24.915563,5.936628,7.480224000000001,1.75918,1.9658689999999999,0.0,0.0,0.730965,2.677829,5.273046,2.673593,10.605137,25.110843,32.61128,32.522771,42.322772,35.305974
PF3D7_0207000,230.366675,112.64475800000001,76.75474799999999,67.643495,34.753190999999994,24.197687,19.191539000000002,13.709812,26.435918,41.664526,95.787929,151.945149,282.82502400000004,1000.563869,1636.467395,2084.977234,223.277206,84.34401899999999,69.416748,58.718449,34.7492,19.57431,14.821292999999999,12.443669,26.866596,53.899524,114.574152,191.830026,366.604559,1129.037468,1796.122934,2608.767643,235.913132,134.38804199999998,56.556412,71.77839499999999,51.873959,23.735502,15.324214999999999,11.951553,16.535648000000002,31.407484000000004,88.922538,134.738001,255.627784,769.068437,1073.953901,1273.31185,268.836208,145.019198,96.36078499999999,50.976209000000004,43.782272999999996,27.550757,21.418935,17.610872,19.12807,35.661306,89.29165,170.031017,272.966285,552.885352,918.010792,1038.026735
PF3D7_0207100,14.325099,13.187935000000001,8.311146,6.158377,2.251785,1.985815,1.049977,0.651364,0.948125,1.7746380000000002,4.929399,11.670095,16.535804000000002,48.698062,57.428938,67.276988,14.592907,12.556669,9.174488,5.726224,3.131998,1.560359,0.815902,0.43714899999999995,0.8369139999999999,2.0357540000000003,6.547162,13.812907000000001,24.248069,50.172367,59.275262,86.486366,15.826170000000001,17.683097,6.066742,7.369739999999999,4.190186,2.252349,1.3525399999999999,0.76658,1.082497,1.45764,4.712769000000001,7.238282000000001,12.001691000000001,36.964152,41.708646,54.857158,18.476616,16.364576,11.174272,6.430197,4.417434,2.106307,1.232638,0.59391,1.24532,1.645213,3.9933440000000004,8.934842,14.892710000000001,33.694318,39.968746,51.272597999999995
