ORF,AA01_3D7,AA02_3D7,AA03_3D7,AA04_3D7,AA05_3D7,AA06_3D7,AA07_3D7,AA08_3D7,AA09_3D7,AA10_3D7,AA11_3D7,AA12_3D7,AA13_3D7,AA14_3D7,AA15_3D7,AA16_3D7,AS01_3D7,AS02_3D7,AS03_3D7,AS04_3D7,AS05_3D7,AS06_3D7,AS07_3D7,AS08_3D7,AS09_3D7,AS10_3D7,AS11_3D7,AS12_3D7,AS13_3D7,AS14_3D7,AS15_3D7,AS16_3D7,AA01_FUP,AA02_FUP,AA03_FUP,AA04_FUP,AA05_FUP,AA06_FUP,AA07_FUP,AA08_FUP,AA09_FUP,AA10_FUP,AA11_FUP,AA12_FUP,AA13_FUP,AA14_FUP,AA15_FUP,AA16_FUP,AS01_FUP,AS02_FUP,AS03_FUP,AS04_FUP,AS05_FUP,AS06_FUP,AS07_FUP,AS08_FUP,AS09_FUP,AS10_FUP,AS11_FUP,AS12_FUP,AS13_FUP,AS14_FUP,AS15_FUP,AS16_FUP
PF3D7_1136700.1,17.5966115,7.109318,3.8483555,2.7528265,3.3296025,2.3986755,1.497123,1.8147335,2.558015,3.602029,5.8463135,6.486669,6.4852415,7.788523,25.552575,32.3153245,8.3786325,8.2778715,4.7577175,4.007579,3.594539,4.019533,2.136252,2.8664425,3.513914,5.3393785,6.571692,7.258602,7.5272135,7.4303825,23.1240595,35.338846,4.178188,2.664759,1.9158725,1.071927,0.775808,0.582661,0.388197,0.4122785,0.5346705,0.3607965,0.8887715,2.2003945,3.8084075,22.105007,56.458156,105.178504,4.604947,4.0054345,1.452548,2.013501,0.6733095,0.757502,0.790323,0.700087,0.486267,0.8405035,0.846254,1.253757,2.112672,11.1067455,26.4667505,53.672117
PF3D7_1136700.2,0.4215565,0,0.3034845,0.0674395,0,0.0971475,0.1052395,0,0.1811835,0.031413,0.249342,0.242298,0,0.1098575,0.2675005,0.1899465,0,0.452789,0,0.115887,0,0,0.044732,0,0.0489985,0,0.0588965,0,0.096754,0.170169,0.7991255,3.965856,0,0,0.3018275,0,0,0,0,0,0,0.056486,0,0,0,0.0763565,0.9834975,1.578429,0.2921905,0.506482,0,0,0.091168,0,0,0,0,0.087125,0,0,0,0.0924325,0.4642185,0.6462205
PF3D7_1136800,35.2244425,37.948895,39.922174,41.021928,49.9457845,50.861425,29.932472,35.1077065,32.5941785,32.963773,45.0392495,45.979283,29.9945215,28.0348765,83.3562525,82.00892,16.374984,44.963178,56.949698,57.0239355,50.1884685,69.5661355,50.538872,35.3656095,39.976062,35.2426375,43.84335,44.922724,38.8367975,27.66985,92.1314325,88.386539,17.269487,44.108071,69.7368245,61.8773645,73.3048935,64.826495,56.622095,42.8170675,69.0951975,57.6256615,51.665606,65.144988,43.7453265,96.1044715,114.141752,98.822143,12.7293345,51.104713,76.000612,78.4209485,72.1194275,65.64492,63.113785,55.665944,65.635954,72.096327,53.289657,48.9760945,35.638353,66.3602165,74.9795905,105.456848
PF3D7_1136900,59.319559,35.064309,23.102311,16.332022,12.166541,6.6866185,5.0803,4.3368995,3.3331755,3.690509,9.1641245,10.6312005,8.515952,8.9161995,12.04572,13.756382,50.174706,38.148574,23.418627,17.464844,9.724232,9.832257,5.407048,5.2293305,3.486132,4.5319,9.717882,11.3119675,12.251099,11.452211,14.3560975,21.4849745,20.6200925,16.473598,11.9509765,7.4533005,3.645916,2.4881975,1.5571485,1.8578075,2.078038,2.1691975,1.3090365,1.1914875,1.3174525,4.303356,12.1167265,38.7085955,21.468097,20.2310475,12.205145,9.4993935,5.486555,3.1677525,2.04348,3.1767785,5.334891,3.77211,2.8006395,2.1777975,1.8551205,7.345481,12.786286,20.9702805
PF3D7_1137100,67.1264895,102.880404,127.110157,115.417688,122.130442,104.8859425,110.666822,99.499849,90.55265,92.663109,120.062735,120.449847,115.843804,111.560118,118.1330675,103.8485435,54.1361085,147.3921015,112.945082,107.025838,101.8520165,110.8121045,107.542653,103.07466,84.5257775,87.5839275,103.7500635,119.4065355,115.7266025,121.6913515,136.810505,113.4966505,53.867627,93.6957835,112.333647,110.746097,101.555653,93.3215115,87.126225,93.6017635,102.3490095,117.524402,105.6990965,110.7706885,98.5118905,118.0178935,100.1444915,79.4732485,46.9095205,95.8583495,122.283526,130.6063045,101.7487485,84.135727,82.955429,96.903098,102.5583915,99.326063,102.2767645,96.047965,88.0414315,122.4659715,116.270043,100.4038195
PF3D7_1137200,8.8462445,4.669143,2.453956,2.015335,2.0384915,1.043513,0.5387135,0.796441,1.3222785,2.373098,4.4097235,4.056342,2.465623,2.945002,11.9842635,14.8121555,3.693859,5.2958615,2.941908,1.8566745,1.796485,1.8020065,1.2121145,0.821317,1.869047,2.9434065,4.2749835,4.037938,3.5782285,2.9908715,12.2656985,20.7572565,2.266332,2.159817,1.6473965,0.819326,0.375914,0.604328,0.3377445,0.2547315,0.214627,0.2308585,0.3409425,0.548351,0.8830855,6.815759,30.295575,56.951543,3.228182,2.8198325,2.0066805,1.6501515,0.8620215,0.663027,0.552017,0.4019125,0.4466945,0.4586965,0.407454,0.529169,0.644896,4.4032585,9.751612,23.129135
PF3D7_1137300,130.373749,134.10529,115.9090885,97.6373695,111.651776,96.394313,79.9332815,78.6492995,71.980401,69.7626855,91.808585,93.357398,77.8786135,77.34076,119.9051435,105.3036335,87.9512355,163.747785,127.3936705,115.8923795,100.111676,128.535319,92.460852,97.800195,77.5215905,81.1131525,83.513019,87.758665,89.257297,80.1912885,109.301262,138.1993235,123.655138,136.7372245,132.603616,116.4853195,97.09341,88.324747,70.2806075,62.966559,77.1629475,84.8385375,83.8120945,92.227497,80.354617,68.603842,63.368838,49.662238,125.0327355,148.6738805,132.256033,154.884984,108.0178225,97.345224,80.144915,64.9053795,85.3857125,98.786592,86.9429525,87.0608385,72.140267,77.509204,79.6134835,95.095495
PF3D7_1137400,13.4345615,7.118486,9.3716475,11.331919,17.8420725,17.021119,18.7439795,19.6009895,25.581075,31.667818,55.6788235,65.4196025,78.223761,80.136831,100.666839,85.507573,10.2133865,11.4952525,9.835874,13.032898,14.339832,24.5596525,18.7678625,25.6700655,25.9034155,34.947445,47.640714,59.55388,71.8166205,74.960084,99.9012365,95.235721,1.760439,0.5456095,1.105721,2.226688,2.8175535,4.168028,4.5917505,15.3538895,36.692072,63.463063,83.6728785,102.3495835,95.770786,70.4280505,54.5175185,40.4670815,1.253419,0.565163,0.914682,2.238401,3.306833,5.0064325,6.132191,11.984391,30.572984,47.6433205,66.7359235,79.212918,80.615922,86.31279,79.6286595,70.662707
PF3D7_1137500,10.14513,5.2629305,4.291484,4.0236125,5.7369195,6.856235,10.5065165,13.994411,16.324613,19.245112,25.739196,30.805249,47.760306,65.195176,111.159078,144.3657805,4.3400545,4.0744495,6.3940095,4.6151905,7.112946,9.639546,12.039873,19.773499,16.0604675,20.05899,23.0839725,32.4097055,42.6647875,53.0156915,87.2070635,122.8067305,2.2270615,1.4237485,0.7440485,1.242698,0.2518645,0.708488,0.248247,0.9022,1.653283,6.8956515,21.082661,37.158462,65.4975275,228.564026,272.934243,268.704025,4.343415,0.771455,1.092258,0.979773,0.3286935,0.13855,1.4292995,1.2362615,3.077604,4.404671,12.8203215,24.8824175,46.742881,129.7031715,174.9425885,188.6398115
PF3D7_1137600,0.0965355,0.0132815,0.0434775,0.062536,0.020401,0.095609,0,0,0.065075,0.0341865,0.050739,0.0236245,0.0433755,0.0683945,0.113766,0.0726495,0.087304,0.0890405,0.0197775,0.0640245,0.0095105,0.143254,0.0412895,0.0399,0.0674075,0.060439,0,0.065326,0.0193025,0.0065215,0.0373845,0.1449685,0.019213,0,0,0.018031,0,0,0,0.0081985,0.015308,0,0.076818,0.1519355,0.429936,0.5044985,0.6054265,0.465996,0,0,0,0,0,0.036715,0.017267,0.0125835,0.0629555,0.045595,0.087238,0.1431695,0.130098,0.333546,0.3688595,0.462446
PF3D7_1137700,0.14757,0.1275235,0.074669,0.1500385,0.148373,0.3091065,0.204393,0.2120525,0.2642375,0.188595,0.1809805,0.205994,0.2368885,0.3235315,0.381741,0.3398865,0.2344395,0.0730455,0.196287,0.1399885,0.186753,0.296488,0.2663085,0.239761,0.2517955,0.156325,0.3156955,0.205259,0.298681,0.1926675,0.2522225,0.4736385,0.0765675,0.0498495,0.0147015,0.088139,0.099107,0.013119,0.0749535,0.022738,0.0396875,0.045197,0.071633,0.1379015,0.36955,0.5918165,0.5174045,0.5398515,0.024486,0,0.0512675,0.0610115,0.134222,0.1664205,0.124697,0.055176,0.076654,0.093136,0.1201655,0.1076125,0.174208,0.384548,0.361914,0.6977085
PF3D7_1137800,23.640769,16.465279,8.5465195,7.895773,3.6546805,3.444097,4.1044615,2.350442,1.959813,1.2506905,3.9956145,4.7545485,4.7628195,5.626337,4.71259,7.484837,28.3408675,17.622922,9.1107855,6.4134875,2.327594,3.3867315,1.49167,2.774849,1.9884315,2.6107965,3.440815,5.2915485,4.9212765,6.587085,5.9479655,5.186824,12.832627,9.4920925,6.646782,6.369904,3.26223,4.662486,2.6806875,0.708979,0.6334225,0.831074,0.5945605,0.175225,0.720496,4.286534,11.6447795,22.5090515,17.135463,13.0654775,6.551171,10.62798,5.169844,3.3390235,3.4908385,1.047288,0.637495,1.3755885,0.5050835,0.236825,1.1479905,2.3733795,6.447829,9.1963055
