ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_1206000,0.20650458453393264,0.3688659070902512,0.316351375057781,0.2972474689528086,0.28278240816494005,0.2402163670652205,0.31631178981644525
PF3D7_0301800,0.23813329624359006,0.2919010992761995,0.26855582222040714,0.26314477595135344,0.44502888861971823,0.3965038877381901,0.3171576465169196
PF3D7_0307700,0.256843571118724,0.18733463785214427,0.4105303245849086,0.3149769835814586,0.3583533018408186,0.3820385577652175,0.3177988119648325
PF3D7_0407800,0.1702925411938722,0.3247241886333257,0.24488871054065084,0.33128028852312263,0.37095430060784135,0.36543532962757497,0.3179618720762351
PF3D7_1238600,0.2294771700650878,0.43747091837539004,0.22464300527472508,0.36679866128165295,0.2429672320151285,0.5737268596767403,0.3179699542367241
PF3D7_1010400,0.09561483384655753,0.4364916517363245,0.19911760192809355,0.46078375901333,0.17619823859450312,0.5323626995161085,0.3181478128180628
PF3D7_1437200,0.4281662209333707,0.2380283601079455,0.3262595222526837,0.3594240058692096,0.35042423729609795,0.1641149273992452,0.3185340313814842
PF3D7_1227600,0.2680037257681314,0.406727885601394,0.3801372647092337,0.29423027605169805,0.1930742162868996,0.3409339080069481,0.3185424106623064
PF3D7_1028800,0.4908500485885578,0.20069303033825195,0.482500940015543,0.4150778645952119,0.1817022564672144,0.42952195263734144,0.3199935228540553
PF3D7_0932200,0.07929171810984867,0.20402714800848612,0.4246703473528977,0.23599676595228586,0.416837756267858,0.3238729203141151,0.3203830043953819
PF3D7_1312600,0.2461687767524949,0.2081312130101068,0.3571944048168901,0.2984267547536277,0.42134732199673786,0.42747910268577616,0.3212749236443406
PF3D7_0934800,0.2994934497009789,0.3359117962326437,0.216645776513314,0.3414757474860132,0.39470141363815936,0.39961498173314025,0.32218368346753257
PF3D7_0813100,0.07886025789506351,0.3603992345642952,0.2728166346224245,0.3209941702930628,0.3382397443495167,0.4949435124710258,0.3231124459573248
PF3D7_1331300,0.318996012264856,0.29649915818796924,0.32017639295546196,0.2978971122917756,0.3804426786891452,0.23605563928421164,0.323753835531088
PF3D7_1234900,0.14480262599965346,0.31903551904805544,0.4115473729044553,0.2791506343495879,0.2984054324195561,0.3005962105790839,0.3270347396804137
PF3D7_1145200,0.30790920142553724,0.4538286942656074,0.22945953626615315,0.3466939403297567,0.2875863913725695,0.31918278365433866,0.3293921405585216
PF3D7_0522500,0.4345635357527511,0.3840257493235208,0.4084858204696197,0.14758815092412966,0.3857135729923495,0.3050901109417066,0.3314533234274049
PF3D7_1450500,0.20172242520840575,0.29367903547332586,0.3266365698661203,0.4826371687341327,0.22676428356142997,0.5874009646722523,0.3324292644087522
PF3D7_1403600,0.482399830281385,0.3618133177751547,0.4955722118310086,0.22615925221675995,0.2464318434297784,0.3809607814187479,0.33249415631317536
PF3D7_0423400,0.08084475467863354,0.5042513852163678,0.20580736944642405,0.432112840612748,0.18954404917021614,0.3994104131325561,0.33292891111143896
PF3D7_0527000,0.3768434860132822,0.27079578588602266,0.2867349320377468,0.34569859083996984,0.435857365228674,0.2797284117634199,0.3347716684981033
PF3D7_0927800,0.3170286822616119,0.2792599712594409,0.4801822250011583,0.19940696999066504,0.3820392365090541,0.5517499865675815,0.3352221006900796
PF3D7_0508800,0.3371736769538249,0.4068995532996555,0.3312537755019653,0.3907273215746193,0.21686365757228648,0.3870562778755547,0.3364360769871316
PF3D7_0918700,0.38155864896290864,0.436692933740712,0.29714335265152697,0.3166644080525661,0.29828778933053063,0.2475052198778497,0.337197120943834
PF3D7_1310200,0.08765525355197132,0.3609971302222267,0.280900168219568,0.414034601247883,0.2939218962768683,0.21823208906484576,0.3374634489916365
PF3D7_1108500,0.18798968918967998,0.3296626076779986,0.3052873150823256,0.38826195092415583,0.3276900162430567,0.1704736457400932,0.33772547248188417
PF3D7_0526200.1,0.2322379359030114,0.3551302407283884,0.4831172922167733,0.2273527468652934,0.2897790306428172,0.2465821475071618,0.3388448276133181
PF3D7_0416100,0.3338691292417922,0.3210683920901896,0.4428608313173999,0.3585982068352896,0.24055876714599936,0.3867555307291965,0.3407715493472196
PF3D7_1451300,0.4819799714724674,0.16273797691423975,0.5329854203493889,0.44316864276389467,0.2266740656232361,0.4773727044231576,0.3413915264126899
PF3D7_0821100,0.29122275388207464,0.2518758443377712,0.3876956573831974,0.38046440014623406,0.3471919129952701,0.28843786741887895,0.3418069537156182
PF3D7_1458700,0.2653380638713477,0.2415924158913852,0.4815448248689118,0.2756470299891563,0.36976898639914796,0.5332346427887348,0.3421383142871503
PF3D7_0220000,0.4334514396982575,0.43603887045959006,0.2586496155876106,0.3394421775214922,0.33679493757646417,0.3955586314800567,0.34273140028628923
PF3D7_0306000,0.2854890661132262,0.2574687289573875,0.4765722501774029,0.3391078072215947,0.2993486230230951,0.4589065236346612,0.34312435234487004
PF3D7_1335100,0.10198807393878112,0.2866897052855173,0.3563255718235275,0.27960471986031793,0.4508367686291354,0.36346446313737896,0.3433641913996245
PF3D7_0902100,0.12801323268942294,0.3339962022128947,0.27838512039165697,0.3876248070539396,0.3818266850429119,0.3801889324369975,0.34545820367535085
PF3D7_0814500,0.44449231352098334,0.3224606509783966,0.14695787028163715,0.5063491221335937,0.40787162363951196,0.3411573263448939,0.3459098167582849
PF3D7_1321500.1,0.16955965022101202,0.2954547389346909,0.31497349324653473,0.32480273833649315,0.4519845879978716,0.5503169001022961,0.34680388962889763
PF3D7_0903700,0.3763004820057476,0.5515073881019837,0.2815558023184696,0.3004559284843005,0.2557784599001261,0.523198618486854,0.34732439470121995
PF3D7_1128900,0.10152430579252923,0.4295663190889765,0.28967532263461626,0.3415063989154032,0.33412847748484353,0.4902424756546366,0.34871912953095985
PF3D7_1218500,0.26668749935025604,0.3414885688216167,0.3331369096372331,0.3263190482619399,0.3980048617079352,0.2751529432521965,0.34973734710718124
PF3D7_0105400.1,0.2480668995393755,0.439755258699509,0.22374110424712448,0.3253947627394844,0.4101800499630428,0.4540689375976375,0.3497677939122902
