ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1251600,1.4690328768115706,2.9241793061449424,4.46387368477408,2.388313628711122,4.499665231250457,3.6675073944332057,3.5690079627201503
PF3D7_0217700,3.1405308625765977,3.6207265983397567,3.1910547231226736,3.12739688429882,4.339765548956752,3.6156390519927273,3.5697359386795005
PF3D7_1306800,2.7723717025729258,4.047477904156572,3.555923353058674,2.7349369948117213,3.956150694837965,3.5072177899035366,3.5736222367162327
PF3D7_1008100,2.1988642212835767,3.6204178747217695,3.6171293587526296,3.3476274639800625,3.7391331966575176,3.9530237545411007,3.5810769735279955
PF3D7_1310400,2.465410555315449,3.571482138581204,3.9599122389068313,3.164336565845628,3.6364935091077832,2.6269366678225925,3.583056113110361
PF3D7_0310600.1,1.7957730959189229,3.9170391338200568,3.628430560941507,3.5724446532610057,3.2156640675408044,3.341494120133252,3.5833946038908437
PF3D7_0612100,2.615612596393151,3.6045237275331337,3.5604770072131418,2.8754708516961083,4.2932602994003215,4.6492076575341414,3.583432971460676
PF3D7_1017600,2.6195616006249587,3.0159387006560867,4.251426331768688,2.58153838104783,4.489313838569035,3.6729268844375023,3.5845543130104094
PF3D7_0818500,1.3818950724053594,3.339844071862017,3.776293656841008,3.0708381963843325,4.165328069086076,2.3081655557834955,3.5880759985433586
PF3D7_0911900,1.7893580923867998,3.5842117075116264,3.994185836610239,3.0187389067947663,3.765197593684352,2.5599167735575548,3.5905835111502458
PF3D7_1315400,2.7730982076484785,4.058663829165065,3.58810549003204,2.818663534250436,3.9067022069536814,3.801195655795832,3.5930337651003064
PF3D7_1018600,2.115000000176567,3.3250520002544586,3.8020379360420606,2.9771439892758185,4.281726735457089,2.596730529353724,3.5964901652573564
PF3D7_0822400,2.4151242913650237,3.321963007130837,4.198016764244583,2.3821071151586675,4.486344592078053,3.572613426571133,3.597107869653035
PF3D7_1237500,2.5200733841447605,3.4168323997540844,3.9201257345598006,2.8510084175637456,4.235012835207492,4.385218364067407,3.6057448467712807
PF3D7_1146900,1.5113189151977986,2.593250521174157,5.032276841593851,1.794745711715835,5.016748091036551,4.4447937519130605,3.6092552913800984
PF3D7_1213700,2.7096733752217568,2.98124304192357,3.8088813070234466,3.1852087505493945,4.462072884362926,4.941832155030166,3.6093514959648343
PF3D7_1404900,1.9311308779143488,3.631562063911727,4.319717929828816,2.8404214395684817,3.6491608865030867,3.540417691559796,3.6102155799530284
PF3D7_1414200,3.3906359099402703,3.5039105198739984,4.2772172627782785,2.4724218315157818,4.193178850147425,4.436364290175709,3.611682116078871
PF3D7_1227400,3.3794294276082724,3.4900702531028127,3.416564932578173,3.376785510898456,4.187469504036997,4.518324785804864,3.6177225501541095
PF3D7_1039000,2.151632357082542,2.5944402341971227,4.675019190992106,2.1234780559222046,5.082451721042606,4.08283060208305,3.6188473005385093
PF3D7_0621500,1.9061674604026204,2.9981493916318094,4.260949801648949,2.660378675588817,4.555979375471964,4.058106111240079,3.6188643110853844
PF3D7_1458100,1.5099200471988017,3.912228599170757,3.31387720866905,3.842146622398084,3.424641175825985,2.885645731008743,3.623223401515969
PF3D7_0204700,1.9761697821530315,2.888477710742808,4.598084293471432,2.6670148024801588,4.340139990398637,4.819251838115375,3.623429199273259
PF3D7_1448700,2.3740981113538537,3.5201010395149206,3.6666313605621967,3.0453025493997328,4.2643015256096515,3.9059200653183455,3.624084118771625
PF3D7_0420300,2.1489773645641086,2.405118114387625,4.624703916643641,2.411861198387077,5.057748067751771,3.7925538598883377,3.624857824292528
PF3D7_1311600,1.904147545010005,3.4945515919707404,3.57878729719408,3.2653619129722165,4.170866319706646,3.3945172932770453,3.6273917804609215
PF3D7_1366900,1.4221121048084968,2.7037563246629293,4.914542909851824,2.000268358614824,4.89449197774687,4.662629754580316,3.628264892719112
PF3D7_0729500,2.7468386506373914,3.7494146076196855,3.3355166383826784,3.6678916432245927,3.7670225844843226,2.4365524106263834,3.6299613684278196
