ORF,AA13vAA17_FUP,AA13vAS18_FUP,AA13vAS19_FUP,AA17vAS18_FUP,AA17vAS19_FUP,AS18vAS19_FUP,AAvAS_mean
PF3D7_1340600,0.2487214749967614,0.2596842561083535,0.2657095991313872,0.15133436449247128,0.23965695478668164,0.3533762682370083,0.2290962936297234
PF3D7_1372200,0.1800233109706973,0.23130599037199148,0.2966169188420712,0.1803198128526857,0.21850178893946737,0.07281028410448576,0.23168612775155395
PF3D7_0932300,0.14743468178128658,0.21192289335390474,0.33721952835229285,0.15005774971428065,0.23508278292380497,0.17747123466907969,0.2335707385860708
PF3D7_1478600,0.37608517437873024,0.17698399596439568,0.16908460160349773,0.29388841252235165,0.2958276141961291,0.15407393058508856,0.23394615607159353
PF3D7_0301800,0.1801146364586621,0.2323433419196201,0.20995975949379653,0.1831447579332948,0.33597730840322537,0.323450128782575,0.2403562919374842
PF3D7_0323100,0.3909974503031314,0.1576656140809683,0.3043677078221706,0.2907862229050427,0.22201950898833342,0.1854072524064275,0.24370976344912876
PF3D7_0603300,0.16502960932667624,0.35893623218958554,0.06668726957101623,0.36015802702290856,0.1946611865673932,0.4046377644971578,0.2451106788377259
PF3D7_1129400,0.24857375854813582,0.3830060511074296,0.2250834828299844,0.19396308912846977,0.17945585799219985,0.20780043277960653,0.2453771202645209
PF3D7_1351700,0.0845201343890938,0.42673270266972746,0.09344171265673468,0.38079260743241233,0.08458382873610658,0.34727698541704793,0.24638771287374525
PF3D7_0818100,0.20785973905696176,0.24874157795331214,0.1301665856096683,0.3457299315400104,0.26592578442954634,0.26539321448125874,0.24764096988313428
PF3D7_1471200,0.2360954003327506,0.243882133513037,0.2070399115484874,0.24246061534805313,0.29963418365438477,0.24402699617174484,0.24825421101599057
PF3D7_1473700,0.4568062838831615,0.12233267126550755,0.2441954292422448,0.3419304731828782,0.28892863335415575,0.14786675094574858,0.24934680176119658
PF3D7_1412600,0.2703014486212351,0.29141891000702264,0.25766464845658377,0.16268522076663808,0.29242513600109626,0.39587942525494896,0.2510484788078352
PF3D7_0608800,0.11878552783620785,0.2503353410991518,0.28853218458984214,0.16680678550866146,0.31212923072162735,0.46093842173719135,0.25445088547982064
PF3D7_1004400,0.37590373873576904,0.4281263779977687,0.2971961583959577,0.13258768382096442,0.16750156192604362,0.2820687174514359,0.2563529455351836
PF3D7_0807200,0.15617246109169153,0.229485112211318,0.34357971118832115,0.19265001914475666,0.262376553481584,0.33345088720180827,0.25702284900649497
PF3D7_1003800,0.317872357103975,0.38761263699038345,0.16776428090398152,0.2123073931880499,0.26259022790645203,0.3205895947504406,0.2575686347472167
PF3D7_0414900,0.11636351979012714,0.15998783952188164,0.41343045543791274,0.10134935813646442,0.3591834407706933,0.4318086286484742,0.258487773466738
PF3D7_0614500,0.27097446059946584,0.2521237083239685,0.3390096603410066,0.2629071087777006,0.18093161390975354,0.33725400905239594,0.25874302283810735
PF3D7_1358800,0.3121408189462936,0.21653149805143504,0.2715474523182185,0.23085667175906033,0.31654170518859254,0.2748824886169791,0.2588693318293266
