ORF,AA13vAA17_3D7,AA13vAS15_3D7,AA13vAS16_3D7,AA17vAS15_3D7,AA17vAS16_3D7,AS15vAS16_3D7,AAvAS_mean
PF3D7_1437300,0.2624493774699867,0.5347243175872822,0.5716247615242749,0.6224893106717383,0.5169685516705054,0.6874176666004205,0.5614517353634503
PF3D7_1133400,0.7121747431227711,0.6091556980509383,0.8356192107325734,0.3196378672864203,0.4820929148521387,0.5099718037741293,0.5616264227305177
PF3D7_1017100,0.4040196868134586,0.5762765795493139,0.6071433900979331,0.4494743819452529,0.6186526137085595,0.6404697789745257,0.5628867413252648
PF3D7_1001600,0.2998832933299345,0.4651566133795039,0.5313018282203545,0.4840683016517838,0.7749647279784301,0.6568218457152016,0.5638728678075181
PF3D7_0503100,0.4795728454416275,0.7510988766345337,0.6374843474676579,0.4195911149090555,0.44768210122967,0.6801616623069753,0.5639641100602293
PF3D7_1121200,0.366432696668716,0.3951462816387321,0.7152743355002439,0.41573220950007417,0.7405724087395092,0.6468523424296899,0.5666813088446399
PF3D7_1027700.1,0.3174859305808904,0.4579248066131308,0.7075949948400089,0.5263170267001637,0.5758140113553937,0.7165152500227125,0.5669127098771742
PF3D7_0100300,0.4746466700027899,0.4928916245940884,0.7811503208243429,0.31139301005928965,0.6841055322827878,0.4877941399527232,0.5673851219401271
PF3D7_1446600,0.39589571909336907,0.4027330373616037,0.7545092678305293,0.5459651782140404,0.5804950203717366,0.5659186506479367,0.5709256259444775
PF3D7_1330600,0.34220562711051505,0.439614865184128,0.7379262815896386,0.5386446065108256,0.570542410361328,0.7172568214674364,0.5716820409114801
PF3D7_0800200,0.5882152280878971,0.5524733340473867,0.7035321792101344,0.5245795209919496,0.5076560593687415,0.4072399443828811,0.572060273404553
PF3D7_1147700,0.2332111219610429,0.4201202442306137,0.6774776602202832,0.37161969358968383,0.8235923067969141,0.7141959114773622,0.5732024762093737
PF3D7_0416100,0.3866734263590509,0.7381531287006832,0.5863155378845768,0.5365235196463796,0.4384562356454352,0.7298229614157358,0.5748621054692686
PF3D7_1332600,0.2374508566591901,0.6960121940706337,0.5150940705082904,0.558165877298924,0.535923918858771,0.8350608432630345,0.5762990151841547
PF3D7_1452500,0.27975388481343805,0.7404979266905032,0.3979515388605043,0.6634422073407954,0.5056940581708969,0.9215212500869489,0.5768964327656749
PF3D7_1457500,0.428967877254041,0.6011046181420777,0.6665517918829175,0.36488558597583615,0.6760582337365737,0.5485316093373943,0.5771500574343513
PF3D7_0523100,0.5206386885063685,0.5677241744147953,0.6821901802615606,0.4263144598131326,0.6357730871571879,0.7738626901434658,0.5780004754116691
PF3D7_0311800,0.3261293075829914,0.6768894651609642,0.6229857687226336,0.5037161648293063,0.5100707052361457,0.6915733040891777,0.5784155259872624
PF3D7_0905400,0.34946345627649217,0.3345095019965421,0.5770503074686191,0.5474644379127361,0.8572284696864655,0.5933929953096315,0.5790631792660906
PF3D7_1305100,0.2452611272070185,0.39469268324402856,0.7372192154546487,0.2955398259556724,0.8898528928938764,0.909583723650364,0.5793261543870566
PF3D7_1124600,0.3883394183449746,0.4582497504408761,0.7569191785615311,0.5418221989646256,0.5603765827172908,0.9538449977123876,0.5793419276710811
PF3D7_0721400,0.339495988533283,0.4990924079345722,0.6847646936339665,0.443128437014806,0.6917016982573755,0.5439013410010564,0.57967180921018
PF3D7_1353200,0.6383339267706752,0.507100158558359,0.6393436607616587,0.6476516689253091,0.5255165235461509,0.451862376997429,0.5799030029478695
PF3D7_1252100,0.6672870036245419,0.6068378830448762,0.8479395835114769,0.4441751705312469,0.4274737687698152,0.5945087212700755,0.5816066014643538
PF3D7_0720900,0.32154985103328904,0.4631837670789033,0.7511899300976664,0.3711274941046713,0.7414810125431925,0.7810023944594277,0.5817455509561084
PF3D7_0815500,0.13567889193843874,0.7353620446059941,0.4907770363368727,0.6590112836960361,0.4465495327480349,0.7599263466277281,0.5829249743467344
PF3D7_0613000.2,0.5272125143266002,0.6375957272293734,0.4904494183707966,0.294771733188112,0.9191195091060186,0.9326561165233854,0.5854840969735751
PF3D7_1253300,0.4057905447062597,0.4866532962101165,0.6508473155489771,0.5368713501165182,0.6710052809451746,0.4031666004657923,0.5863443107051967
PF3D7_1416500,0.7560355567286218,0.4458942847241212,0.5564093211118225,0.5210785543041092,0.8222947680448187,0.6259456669263731,0.5864192320462178
PF3D7_0113700,0.5552236620432628,0.5027172414748303,0.6293736620237274,0.652349568803083,0.5672312176263429,0.44102380157073023,0.5879179224819958
PF3D7_1004900,0.4926642920503835,0.4183413012332465,0.7928814290521734,0.504455420568236,0.6365540152380382,0.5499824053566778,0.5880580415229235
PF3D7_1005900,0.2235342009034016,0.7184521967915335,0.4935900013164984,0.6647204682570017,0.4788984656200413,0.7129056006847807,0.5889152829962687
PF3D7_0319000,0.36765254302848577,0.7086953589302406,0.6531811485352106,0.6329121663333311,0.3647691365499463,0.6092559021453529,0.5898894525871822
PF3D7_0702100,0.30077204554994824,0.2976904851991085,1.0677573499490578,0.10359544967313504,0.8907769003342502,0.8522750169243896,0.5899550462888878
PF3D7_0501100.1,0.41960258127440797,0.5541428570761858,0.6267934339776612,0.4547063272853163,0.7289229269658233,0.5391038023914949,0.5911413863262467
PF3D7_0731500,0.5894050810834489,0.4646038139108114,0.7285605658272335,0.41957134201359175,0.7519533614701032,0.4969090239856082,0.591172270805435
PF3D7_0501100.2,0.78844956600028,0.37977657141504856,0.4619960558119254,0.8359593994521123,0.6875663279751484,0.25037900172073485,0.5913245886635586
PF3D7_0103000,0.3804739781296712,0.5982265423203942,0.6552306500619558,0.3940296597648747,0.7298095673479755,0.797221789291189,0.5943241048738
PF3D7_1239500,0.39546204401325424,0.7701037007866459,0.5603237430961644,0.5873031082710478,0.4605909733808066,0.7992044891661851,0.5945803813836662
PF3D7_0632500,0.5124107657083834,0.6146705951213316,0.7098979388038396,0.5020144899629285,0.5528681553690912,0.5246803299207767,0.5948627948142977
PF3D7_0111500,0.3885636249712577,0.5062369324930536,0.9050079619955664,0.3415333502074545,0.6290488748405261,0.5381637344537009,0.5954567798841501
PF3D7_0200100,0.6007373104244356,0.7231854878207115,0.6971297370445605,0.4174603210300632,0.5444636917890879,0.4387394834824546,0.5955598094211058
PF3D7_1100200,0.6303048251695217,0.6942698402357937,0.8047244423354154,0.42687476253406825,0.4580930411563477,0.4420610398107188,0.5959905215654063
PF3D7_0204800,0.3125491681025305,0.5176577629938278,0.6417596384518763,0.5329337033783759,0.6958034825997312,0.6885668418717799,0.5970386468559528
PF3D7_0619700,0.4259869136949501,0.8053439578318519,0.5123758498713705,0.5892948157146486,0.4861501379563391,0.6968469686147464,0.5982911903435525
PF3D7_1471400,0.365254526940722,0.6679947957033525,0.6196063612839958,0.4859655921479284,0.6204577712567071,0.7184508133163421,0.598506130097996
PF3D7_0932400,0.5563246306363229,0.4689632975770092,0.8221510307136461,0.5958478133158958,0.5105155631495195,0.8656981803731952,0.5993694261890177
PF3D7_0904500,0.5605978797189698,0.6279421891807385,0.7874595034585692,0.2930447553234131,0.6949924293787596,0.7022212757547042,0.6008597193353702
