3D7_3,3D7_6,3D7_9,FUP_3,FUP_6,FUP_9
PF3D7_1304700,PF3D7_1204700,PF3D7_1207600,PF3D7_0502600,PF3D7_1313700,PF3D7_1251000
PF3D7_0419200,PF3D7_1231900,PF3D7_0604800,PF3D7_1351200,PF3D7_0613600,PF3D7_1111400
PF3D7_0302600,PF3D7_0412700,PF3D7_1354500,PF3D7_0629200,PF3D7_1242800,PF3D7_1408100
PF3D7_0826200,PF3D7_1301200,PF3D7_0532500,PF3D7_1429700,PF3D7_1351800.2,PF3D7_0319000
PF3D7_0307500,PF3D7_1414200,PF3D7_0805600,PF3D7_1027400,PF3D7_0812220,PF3D7_1332300
PF3D7_0916300,PF3D7_1335700,PF3D7_0101500,PF3D7_1328000,PF3D7_0216700.2,PF3D7_1011700
PF3D7_0908800,PF3D7_0811000,PF3D7_1123600,PF3D7_1037000,PF3D7_0211600,PF3D7_0722500
PF3D7_1412500,PF3D7_1474500,PF3D7_1106700,PF3D7_1253300,PF3D7_0920500,PF3D7_1325500
PF3D7_1027600,PF3D7_1409200.2,PF3D7_0501200,PF3D7_0416000,PF3D7_0424000,PF3D7_1313700
PF3D7_1304100,PF3D7_1435200,PF3D7_1204700,PF3D7_1423200,PF3D7_0200800,PF3D7_0306400
PF3D7_0729300,PF3D7_1433300,PF3D7_1231900,PF3D7_0929200,PF3D7_1442000,PF3D7_1228500
PF3D7_0924400,PF3D7_0724300,PF3D7_0412700,PF3D7_1451500,PF3D7_0929700,PF3D7_1242800
PF3D7_1454700,PF3D7_1248000,PF3D7_1301200,PF3D7_1402000,PF3D7_1210100,PF3D7_0812220
PF3D7_0828100,PF3D7_1138200,PF3D7_1414200,PF3D7_0819600,PF3D7_1454500,PF3D7_0216700.2
PF3D7_1017900,PF3D7_0816600,PF3D7_1335700,PF3D7_0419300,PF3D7_1109200,PF3D7_0211600
PF3D7_1402800,PF3D7_0420600,PF3D7_1474500,PF3D7_1221800,PF3D7_0713700,PF3D7_0424000
PF3D7_1129500,PF3D7_1440700,PF3D7_1409200.2,PF3D7_0717700,PF3D7_1429100,PF3D7_0200800
PF3D7_0422100,PF3D7_1006500,PF3D7_1433300,PF3D7_1129200,PF3D7_1105800,PF3D7_1248000
PF3D7_1230600,PF3D7_0906890,PF3D7_1442000,PF3D7_1121100,PF3D7_0403600,PF3D7_1210100
PF3D7_1133600,PF3D7_0515900,PF3D7_0724300,PF3D7_1362200,PF3D7_1348300,PF3D7_0611100
PF3D7_1236100,PF3D7_1447900,PF3D7_1248000,PF3D7_1438700,PF3D7_1419300,PF3D7_1225900
PF3D7_1342000,PF3D7_0523600,PF3D7_0513900,PF3D7_0811900,PF3D7_1348500,PF3D7_0905700.2
PF3D7_0831900,PF3D7_1352400,PF3D7_1138200,PF3D7_1450100,PF3D7_0920400,PF3D7_1109200
PF3D7_1026900,PF3D7_1119700,PF3D7_0420600,PF3D7_1307900,PF3D7_0927300,PF3D7_1322500
PF3D7_0618900.1,PF3D7_1324500,PF3D7_1440700,PF3D7_1404100,PF3D7_1226900,PF3D7_1220200
PF3D7_1021500,PF3D7_1016900,PF3D7_1006500,PF3D7_0935000,PF3D7_0817600,PF3D7_1301500
PF3D7_1405200,PF3D7_1419300,PF3D7_1448900,PF3D7_0924600,PF3D7_0302700,PF3D7_1471300
