"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0415200",172,56,67,63,476,201,73,28,141,41,192,65,28,235,7,194,241,186,72,425,650,8,99,2,36,17,51,30,21,262,25,62
"PF3D7_0415300",3497,3696,8976,8014,11113,8632,5519,1614,5217,2977,4827,5701,786,4629,405,13343,11818,4065,5131,7423,18386,1180,5182,304,2300,1022,2080,888,1396,5108,754,2497
"PF3D7_0415400",181,312,949,493,570,611,282,195,339,120,225,460,151,461,43,988,673,383,398,774,1526,75,199,34,176,65,164,89,327,357,109,264
"PF3D7_0415500",642,1010,2558,1252,1221,1822,1316,766,655,318,725,1493,324,1223,114,2440,2033,825,1035,965,2920,203,651,92,417,145,440,235,821,1149,314,575
"PF3D7_0415600",5,4,482,182,7,8,2,53,1,0,1,0,1,3,6,427,2,2,6,1,2,53,1,25,0,3,4,15,60,15,11,7
"PF3D7_0415700",0,0,20,39,4,0,0,4,0,0,0,0,0,1,0,11,0,2,0,0,0,1,0,2,0,0,0,0,0,1,1,3
"PF3D7_0415800",1,3,38,10,9,4,0,3,8,0,4,2,0,2,1,23,2,2,4,13,6,4,5,1,0,1,0,6,2,10,0,8
"PF3D7_0415900",3948,9319,60281,42574,19014,12342,8627,23626,9958,5193,4741,15267,2315,11033,2157,75898,20496,9910,15278,7114,21443,7868,6462,3791,3702,7136,3962,13270,18951,8151,8697,24322
"PF3D7_0416000",102,168,8403,2401,486,275,150,530,434,72,218,386,23,89,263,15061,95,399,346,397,230,759,257,251,30,1439,73,1024,1385,259,1079,2038
"PF3D7_0416100",36,3,5616,1993,91,158,79,470,27,5,42,32,5,44,184,6181,11,25,103,68,24,580,52,154,14,554,2,659,1266,119,710,946
"PF3D7_0416200",122,76,355,226,321,249,209,26,41,83,74,193,2,131,13,318,147,55,175,258,637,19,159,6,37,25,20,29,44,50,24,47
"PF3D7_0416300",8,11,753,138,55,43,22,12,67,7,10,84,0,10,8,410,9,6,32,53,51,35,38,6,9,14,1,24,46,10,24,75
"PF3D7_0416400",91,63,2299,1220,142,414,131,326,98,25,41,589,3,59,88,2335,22,91,208,122,211,229,183,122,29,161,6,442,386,33,307,1473
"PF3D7_0416500",0,0,47,1,8,0,0,4,0,0,2,0,0,1,0,59,0,0,0,1,3,0,0,2,0,2,0,0,0,4,0,3
"PF3D7_0416600",1,0,34,17,2,2,0,2,0,0,3,1,1,3,2,30,0,1,1,0,5,1,0,1,0,3,2,3,8,1,0,6
"PF3D7_0416700",0,10,427,28,10,51,2,32,15,1,1,7,1,17,3,513,1,8,5,15,76,5,1,14,1,8,4,4,22,3,11,15
"PF3D7_0416800",594,1312,19711,8489,1953,2666,995,5052,1178,470,494,1720,200,805,431,23216,1052,831,1552,884,2821,2440,619,1189,263,1621,422,1967,4757,725,1584,3299
"PF3D7_0416900",700,802,2564,1464,1283,1670,1171,251,722,281,332,1283,79,543,94,3588,421,482,576,1116,3636,261,706,54,303,82,149,89,233,594,127,411
"PF3D7_0417000",4,11,4,10,14,4,6,4,5,3,2,17,0,4,0,17,2,3,10,3,43,0,4,0,3,0,1,1,1,3,0,2
"PF3D7_0417100",0,0,21,0,2,0,0,0,0,0,1,0,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
"PF3D7_0417200",0,1,68,54,2,5,0,10,0,1,0,5,2,12,0,69,0,1,0,4,0,2,2,1,0,0,0,5,6,2,0,1
"PF3D7_0417300",228,270,8626,1286,431,948,348,350,161,108,222,422,36,296,195,19086,154,138,258,692,2166,820,257,173,153,541,24,520,753,232,564,661
"PF3D7_0417400",1720,1548,33783,15066,5523,5344,2065,2709,1592,916,1860,2752,409,3066,978,83876,1187,1459,2114,5189,18088,5013,1565,808,1005,5394,383,3481,4463,1530,2798,5327
"PF3D7_0417500.1",0,0,86,260,2,22,7,17,0,0,2,12,0,2,3,92,2,0,3,1,0,14,2,4,0,0,0,4,5,1,1,2
"PF3D7_0417600",2,0,2,0,27,2,0,0,6,2,4,23,0,1,0,3,1,3,2,13,2,0,0,0,0,0,1,0,0,0,0,0
"PF3D7_0417700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0417800",10,0,875,345,11,138,23,41,0,1,4,10,0,4,42,1058,4,0,16,5,1,135,4,12,2,4,0,3,26,29,5,9
"PF3D7_0417900",12,0,83,39,4,13,3,7,0,0,1,2,0,1,7,129,3,0,2,0,2,26,1,3,0,0,0,0,2,11,2,0
"PF3D7_0418000",6,4,207,14,86,8,11,6,10,6,22,18,5,26,3,182,11,8,4,23,13,15,8,4,1,3,4,3,3,40,0,5
"PF3D7_0418100",538,686,3971,1624,2242,1538,802,497,834,416,701,977,155,1207,117,7861,1348,668,706,1356,3348,307,828,126,416,411,407,276,427,985,534,881
"PF3D7_0418200",744,1131,4127,1993,1887,1951,1492,626,961,734,957,1386,289,1581,153,4289,3051,1078,1163,1682,3989,419,1009,155,628,380,384,425,714,1692,410,1177
"PF3D7_0418300",17313,20330,50945,40147,71171,35511,28535,9166,23274,16809,30850,22817,5751,36962,2240,105843,67603,18143,23860,37201,129730,12412,27982,1331,9127,7004,10764,3617,9052,36476,4887,11349
"PF3D7_0418400",2,6,403,173,2,63,6,24,1,5,2,23,1,9,2,171,12,2,5,9,14,11,2,8,4,2,0,8,43,2,7,14
"PF3D7_0418500",33,47,183,86,66,145,65,33,34,9,7,102,3,59,3,103,73,76,137,43,321,10,35,4,21,3,11,24,39,19,12,66
"PF3D7_0418600",14,34,105,27,104,33,23,14,21,12,21,34,5,44,4,92,42,27,33,40,92,9,37,1,23,2,7,5,11,26,5,6
"PF3D7_0418700",1093,1426,5002,2070,1715,4101,1704,1215,1406,741,734,2130,260,2085,122,5159,2159,867,1338,2936,7905,406,1619,166,830,222,558,439,625,789,362,1029
"PF3D7_0418800",1,3,10,1,17,1,2,0,11,2,3,3,1,7,0,8,6,2,1,27,43,0,6,0,2,5,5,2,0,6,0,0
"PF3D7_0418900",1,0,6,0,27,0,1,2,3,2,3,0,0,8,0,8,4,3,1,11,11,2,4,0,0,0,1,0,0,8,0,0
"PF3D7_0419000",0,0,4,1,12,1,0,1,1,0,3,0,0,1,0,5,2,3,4,1,1,2,0,0,0,0,0,1,0,2,0,2
"PF3D7_0419100",0,1,35,56,16,16,10,38,4,0,9,2,0,6,1,69,4,4,3,4,4,12,1,2,1,0,1,3,7,1,6,5
"PF3D7_0419200",38,56,75,59,19,20,40,19,13,6,13,42,14,24,7,54,52,33,19,31,48,12,25,3,6,7,13,7,30,34,8,11
"PF3D7_0419300",0,3,1,4,3,0,0,0,0,0,4,0,2,1,0,5,0,4,0,3,2,2,2,0,0,0,1,0,0,3,0,0
"PF3D7_0419400",8,2,37,10,136,2,10,0,19,2,44,1,1,32,0,25,18,18,0,43,23,2,14,1,2,0,16,5,1,54,1,2
"PF3D7_0419500",245,144,301,312,537,232,229,63,302,159,205,172,74,267,25,518,469,270,128,500,993,15,203,13,145,59,119,86,113,523,81,115
"PF3D7_0419600",3894,9316,12485,11092,17524,11302,7590,5302,6548,5112,5940,7760,2468,9750,608,18946,21623,8658,8410,8423,27293,1610,7041,620,2545,2257,3068,3413,3965,8206,2648,6907
"PF3D7_0419700",145,67,162,40,651,86,52,22,245,37,219,36,30,295,7,438,443,255,58,643,477,18,138,4,30,27,63,33,52,335,32,10
"PF3D7_0419800",213,403,1743,586,707,685,351,230,271,252,271,493,76,414,31,3388,668,297,275,1281,2320,136,391,40,175,211,79,195,274,398,242,468
"PF3D7_0419900",1212,577,13446,4552,3323,2478,1271,885,1248,783,1141,1387,136,1505,324,17718,2276,807,1241,4434,11088,1255,800,199,700,1985,241,1113,1112,982,1177,2218
"PF3D7_0420000",4029,1716,13351,4918,11553,10010,5744,711,2963,2263,6433,2915,547,8547,463,16167,14373,1672,3146,14624,34156,1002,5593,146,2118,909,828,278,683,8742,542,825
"PF3D7_0420100",803,1005,3928,1596,3744,2116,1290,377,1161,831,1276,900,264,2311,124,6327,2867,936,1111,3795,7000,420,1678,118,501,535,498,276,558,1786,454,643
"PF3D7_0420200",46,26,171,238,819,23,77,35,157,55,229,16,16,329,4,212,256,350,59,389,373,57,112,8,11,9,80,30,39,366,18,24
"PF3D7_0420300",2346,991,23803,8158,12702,4595,2289,1529,4948,797,4218,4712,186,3470,721,50963,3489,2855,2925,9837,9130,2273,4005,403,426,5886,981,2072,2231,1681,3664,9664
"PF3D7_0420400",15,0,583,285,73,52,7,95,22,1,29,25,2,23,13,453,22,16,17,70,23,46,14,26,1,0,17,3,40,13,2,21
"PF3D7_0420500",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0420600",1,0,143,56,20,17,6,5,4,0,3,2,0,3,0,74,1,0,0,23,1,4,0,1,0,0,0,2,3,2,0,11
"PF3D7_0420700",16,80,315,53,87,10,41,266,37,9,31,29,1,71,6,132,83,40,106,27,221,11,31,22,0,20,7,49,20,10,19,89
"PF3D7_0420800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0420900",141,304,968,144,456,70,127,207,68,25,188,178,4,135,28,563,148,371,419,129,227,219,172,20,32,162,32,448,191,65,298,2843
"PF3D7_0421000",0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0421100",67,539,961,354,944,149,243,545,229,48,716,982,17,277,71,1597,225,486,327,311,1451,161,196,125,29,608,173,969,224,286,479,2426
"PF3D7_0421200",0,31,1,5,50,0,3,0,0,0,2,4,0,6,0,0,7,0,0,8,11,1,3,0,7,0,8,5,0,1,0,60
"PF3D7_0421300",179,605,2145,532,1222,197,277,1206,593,274,432,791,22,498,87,1912,986,737,1181,486,1085,262,432,39,43,1268,101,1273,565,317,765,1289
"PF3D7_0421400",2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,12,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"PF3D7_0421500",0,0,2,13,3,13,0,0,0,0,3,0,0,1,1,0,5,2,2,1,3,9,0,1,0,0,0,0,2,0,0,0
"PF3D7_0421600",0,0,0,0,0,0,0,1,12,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,1
"PF3D7_0421700",0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,1,0,0
"PF3D7_0421800",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0421900",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0422000",0,2,84,34,17,9,5,17,3,0,1,33,0,3,2,1560,30,7,1,11,10,1,2,1,0,5,1,23,19,2,6,8
"PF3D7_0422100",101,292,2028,886,208,435,212,191,179,51,64,417,4,56,47,2235,26,122,275,394,459,120,177,115,25,232,54,258,293,54,247,862
"PF3D7_0422200",1161,708,7602,2889,3690,1832,1230,398,1510,406,1307,1540,85,1093,204,11844,683,1193,1021,5387,6955,785,1175,80,358,628,288,309,545,736,436,961
"PF3D7_0422300",960,284,6331,5224,3122,764,502,2143,1340,208,1298,320,248,872,167,6972,772,929,936,617,1317,2809,408,361,396,304,309,617,1528,1408,362,406
"PF3D7_0422400",1989,4977,30205,18266,13459,9483,4720,9237,6157,2784,3577,9657,1809,9078,851,27330,14262,7816,7568,5725,19460,1672,3115,1731,2090,2170,2172,4994,7985,5109,4497,9735
"PF3D7_0422500",6655,4647,22042,13815,19615,13464,10329,2638,6526,4582,8553,10169,2037,14317,906,29459,20838,5402,6207,15626,33239,2664,9478,503,4427,1838,2970,1543,3140,15384,2275,4553
"PF3D7_0422600",10,33,363,33,9,46,16,37,11,1,4,24,3,16,3,788,26,25,39,28,157,130,11,16,17,10,6,20,54,10,12,17
"PF3D7_0422700",948,1470,3869,2698,3072,2891,1742,1761,1815,537,1430,2735,749,2575,153,4228,3781,1827,1570,1683,5152,303,1080,314,982,280,857,528,970,1448,722,1575
