"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_0732700",4.347,0,1.394,7.081,12.505,66.989,4.92,3.753,0,0,26.084,0,0,6.233,1,1.478,5.74,2.07,5.008,31.272,0,0,2.613,0,0,0,0,0,0,45.326,0,0
"PF3D7_0732800",27.16,50.426,868.881,28.586,353.882,166.456,223.96,785.92,52.711,26.225,343.909,55.669,25.138,442.176,46.702,210.996,30.354,292.364,556.688,674.079,737.38,37.581,37.535,49.44,6.937,72.664,16.796,71.856,8.113,100.946,399.856,540.779
"PF3D7_0732900",15.288,93.168,1.002,147.964,251.49,499.522,191.026,0,166.733,0,601.292,183.623,43.365,68.146,0,8.108,1.201,159.886,1.036,1.603,865.841,10.134,0,1.002,68.797,6,0,0,4.109,266.937,0,0
"PF3D7_0733000",358.201,928.048,3284.735,1174.529,2282.982,867.848,609.505,1319.575,672.835,865.126,1518.172,5165.426,52.761,491.274,139.9,993.072,1907.325,1214.87,1443.766,988.903,1132.997,557.399,863.262,129.677,153.782,1415.296,149.166,1175.524,1129.109,445.995,1609.63,9211.388
"PF3D7_0800100",485.603,590.409,6624.504,1077.674,2553.065,1230.388,497.765,1172.485,494.541,86.728,2154.477,7209.851,17.828,444.024,114.282,4047.251,879.101,973.436,566.114,1643.38,3414.658,556.024,629.568,1314.673,109.099,1092.872,268.457,2214.323,1076.479,528.115,4491.17,19908.943
"PF3D7_0800200",88.112,273.733,1033.405,116.794,185.61,246.397,765.931,4034.539,40.627,62.2,296.648,241.756,8.124,3262.607,61.314,46.649,258.73,362.498,693.6,1596.55,1183.863,23.998,77.284,83.674,278.812,1023.083,224.946,145.762,149.644,123.821,623.398,287.326
"PF3D7_0800300",240.177,865.021,2932.578,631.775,1760.494,652.061,821.805,2408.617,190.77,627.746,1138.068,1881.288,59.215,876.016,204.47,2397.209,546.714,1113.99,2660.709,1209.285,1367.795,392.079,744.063,2795.493,170.285,346.429,314.966,2052.727,642.617,1246.255,1257.191,1650.872
"PF3D7_0800400",1.425,3.14,0,95.728,38.763,17.039,6.171,3.911,2.665,0,27.856,84.425,1.539,0,0,3.561,0,8.913,0,0,5.265,28.283,3.833,3,0,0,0,2.008,0,1.303,0,0
"PF3D7_0800500",0,0.949,0,70.276,10.529,7.553,5.951,34.09,1.163,0,0,11.4,9.014,2.059,0,2,3.586,106.156,0,2.793,0.938,13.33,23.553,0,8.286,0,1,0,0,7.791,1.147,0
"PF3D7_0800600",0,0,2,0,0,1,0,0,2,0,13,0,0,11,0,0,1,3,0,4,6,3,1,0,0,0,0,0,0,1,0,0
"PF3D7_0800700",24.715,0,1574.469,116.753,614.131,72.888,17.986,2.549,17.138,16.722,251.268,7.075,1.5,118.913,10.271,892.834,29.595,53.639,5.621,169.726,74.791,17.951,11.935,0,2.501,9.428,5.226,6.446,5.035,48.055,13.57,41.262
"PF3D7_0800750",0,0,0,0,4,0,0,0,0,0,1,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_0800800",2,2,3,12,4.578,8,1,4,1,0,7,4,2,0,0,3,0,0,0,0,2,13,0,0,0,0,0,0,2,1,0,0
"PF3D7_0800900",255,984,0,598,1218.422,432.068,797.63,454.049,376,361,1530,1769.997,286,524,9,17,828,852.997,542,1667.988,4409.927,10.001,558,4,466,12,339,8,122,613,6,7
"PF3D7_0801000",11388,20775,14936.008,28408.063,74435.252,101708.933,36018.476,17260.66,25876.041,15494.823,83288.419,46201.013,9141,29444.138,1124,24158.486,60979.202,28869.035,23282,37230.237,108285.353,3135,13845.994,1133,12743.909,1771,15019,2977,10380.004,39724.965,4819.136,16440.668
"PF3D7_0801300",5,1,12,3,93,40,53,2,12,6,72,58,14,15,0,10,172,34,33,27,80,3,94,0,9,0,11,9,4,59,1,0
"PF3D7_0801400",0,1,5,0,22,2,0,1,3,0,21,0,2,12,0,5,7,10,0,41,13,0,0,0,0,0,1,0,3,7,0,0
