ORF,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AA14,AA15,AA16,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16
PF3D7_0603500,13.0,3.0,68.0,15.0,14.0,29.0,4.0,4.0,4.0,3.0,9.0,4.0,0.0,1.0,1.0,82.0,16.0,0.0,3.0,10.0,17.0,7.0,1.0,0.0,4.0,0.0,0.0,3.0,3.0,13.0,1.0,3.0
PF3D7_0603600,21.0,2.0,104.012,21.0,105.0,119.56700000000001,23.000999999999998,5.0,113.63799999999999,178.968,33.0,233.886,0.0,3.0,0.0,1085.5230000000001,804.0,4.0,19.0,33.592,7.0,5.0,22.0,1.0,3.0,0.0,16.0,5.0,19.0,15.133,7.0,31.0
PF3D7_0603700,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,51.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
PF3D7_0603800,1.0,6.0,35.0,50.0,176.0,33.0,11.0,8.0,7.0,4.0,36.0,89.0,3.0,13.0,0.0,20.0,18.0,35.0,9.0,21.0,21.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,8.0,6.0,1.0,9.0
PF3D7_0603900,0.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
PF3D7_0604000,4.001,4.003,65.602,59.648999999999994,31.913,44.004,5.854,15.011,5.965,0.0,16.02,5.84,0.0,4.35,3.002,60.358000000000004,7.006,4.0,0.0,15.698,11.003,21.0,1.0,3.0,0.0,0.0,3.002,0.0,3.0,5.468999999999999,0.0,7.706
PF3D7_0604100,8.0,0.0,17.018,10.0,79.001,12.0,4.0,1.0,6.0,6.0,52.0,2.0,1.0,30.0,0.0,19.0,21.0,20.0,5.0,16.0,54.0,2.0,5.0,0.0,2.0,0.0,22.0,1.0,2.0,14.0,0.0,0.0
PF3D7_0604200,2.0,0.0,111.43700000000001,42.818999999999996,1.0,7.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,56.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,0.0,3.0,1.0,0.0,3.0,28.0
PF3D7_0604300,169.0,148.0,983.565,303.182,571.0,1504.0,257.0,115.0,291.0,205.0,721.0,652.002,48.0,273.0,25.0,972.448,362.028,205.0,139.0,938.067,1241.059,62.0,228.0,20.0,160.0,38.0,133.0,32.0,54.0,169.018,83.0,301.0
PF3D7_0604400,13.0,6.0,8.0,7.0,62.0,18.0,4.0,5.0,12.0,7.0,20.0,12.0,2.0,8.0,0.0,24.0,13.0,11.004000000000001,10.0,15.0,3.0,4.0,12.0,1.0,7.0,5.0,2.0,1.0,3.0,7.0,0.0,19.0
