"","AA01","AA02","AA03","AA04","AA05","AA06","AA07","AA08","AA09","AA10","AA11","AA12","AA13","AA14","AA15","AA16","AS01","AS02","AS03","AS04","AS05","AS06","AS07","AS08","AS09","AS10","AS11","AS12","AS13","AS14","AS15","AS16"
"PF3D7_1450400",51.172318,20.263969,27.26572,13.300409,37.249481,40.147248,33.995387,7.376853,35.316428,28.335757,55.985298,20.4733,14.333566,37.555315,30.062293,51.067559,24.89165,17.271312,20.935042,92.128911,57.566413,22.568873,39.301545,8.820858,29.761303,34.596067,22.189751,9.288346,8.682454,44.676259,19.956326,9.909252
"PF3D7_1450500",2.215415,0.385358,0.658686,0.151618,6.861987,0.440406,0.389028,0.182209,1.165483,0.651727,3.297926,0.079007,0.756154,3.762565,0.983318,0.472774,1.108707,1.776722,0.375542,3.991138,0.97912,0.170468,1.215666,0.236993,0.491111,0.135613,2.042734,0.178524,0.18446,3.309558,0.197934,0.07506
"PF3D7_1450600",20.589926,38.74691,49.327265,38.031896,32.680233,27.354277,19.762661,39.871406,37.987272,21.741313,27.066008,38.139395,18.451844,26.83564,43.61296,53.821729,16.399076,31.377532,29.219559,40.063879,27.112531,37.703558,16.686587,63.55309,29.189628,33.134107,31.280963,36.424172,35.939037,17.063259,43.623944,40.785833
"PF3D7_1450700",96.31601,65.201643,71.211841,30.935039,63.965637,148.357307,64.278815,14.017334,57.374767,69.179919,107.922671,46.62145,25.448922,108.701541,52.393351,97.973253,69.507458,23.082741,46.060291,220.585019,170.900886,54.938144,100.954045,15.430688,68.49925,34.930445,42.467912,9.037013,13.201944,67.070385,25.781309,15.660965
"PF3D7_1450800",0.301761,0.072538,2.378078,0.308293,9.249485,0.220251,0.135937,0.451955,1.656339,0.104184,3.59458,0,0.435385,3.18905,2.39785,2.440722,0.420645,2.025278,0.128374,5.21655,0.584009,1.096911,1.052078,0.763641,0,1.942979,2.898348,3.669996,0.955113,5.644001,2.637501,0.24898
"PF3D7_1450900",0.52772,0,0.21152,0.823084,1.33889,0.056684,0.158557,0.329033,0.096439,0,0.556312,0.131386,0,0.461595,0,0.260671,0.209366,0.60091,0.074518,1.052347,0.129908,0.637259,0.334003,0.295856,0.382506,0.225851,0,0.449708,0,0.39329,0,0.123841
"PF3D7_1451000",43.968197,13.433788,67.881557,21.738665,62.305966,14.316905,13.16394,17.93005,45.22547,16.698738,60.539696,11.1666,12.323642,37.863012,57.705157,58.551643,12.478709,38.13711,9.11341,90.668317,18.878258,72.38501,18.394669,21.428396,11.073873,75.158654,37.499137,61.323792,28.772367,44.899622,87.864037,17.176134
"PF3D7_1451100",848.624863,1192.32342,3684.613354,2670.637456,1403.728664,1537.578325,1249.075432,2699.032493,1504.968591,997.936323,1341.83007,1665.166978,866.275354,1268.655508,3292.44747,3301.192159,671.946553,1373.062613,1760.192594,1558.490579,1246.617743,2815.846294,1059.125605,3565.949187,834.865737,2654.716874,1130.131511,2925.743606,1711.488335,866.75772,2928.800377,3556.595063
"PF3D7_1451200",566.704127,493.242786,389.136489,283.066274,705.977558,613.50581,673.012859,232.565705,584.85668,754.931503,1005.317778,368.623381,445.742481,919.753522,485.915725,1001.708938,851.158925,405.335867,318.196996,1662.797678,966.86486,668.476003,1022.412808,232.790382,563.748371,635.82888,789.830679,270.300128,299.140041,937.316037,317.619328,191.470414
"PF3D7_1451300",8.127867,1.469869,110.031381,5.697117,32.630596,5.426298,1.921512,8.481559,4.615486,2.362108,35.484891,0.657066,6.010135,21.44373,36.78348,21.36636,4.529246,17.932503,1.743193,18.723373,6.333843,17.227287,4.111382,14.599855,1.669161,13.071512,13.571101,52.990841,24.560825,30.843608,32.594522,5.170121
"PF3D7_1451400",14.887108,6.504562,12.275846,6.123996,6.965808,11.059414,11.264273,3.373387,8.967673,5.886755,15.480799,10.488701,5.412663,7.271994,7.421367,16.790033,4.351078,5.476021,4.6257,22.653151,10.855498,11.993993,11.021997,5.20589,10.243797,6.971143,7.658751,6.60478,3.274219,13.950413,9.106933,4.995918
"PF3D7_1451500",35.763602,40.729561,50.358047,13.236678,14.003053,59.388788,33.931456,24.68459,18.462028,19.962013,29.072563,41.149902,38.393749,43.566881,32.169907,37.231296,20.520416,24.536679,30.840681,101.962851,77.593742,9.119323,42.288104,18.002994,38.58292,4.897645,20.458657,19.822865,28.433659,32.318539,26.331059,16.462347
"PF3D7_1451600",0,0.067466,0,0.043425,0.012284,0,0,0,0,0,0.014067,0,0.202829,0,0,0,0,0,0.030123,0.022695,0.021341,0,0.088988,0,0,0,0,0,0,0,0,0
"PF3D7_1451700",0,0,0.114882,0,0,0.086376,0,0,0,0,0,0,0,0.935081,0,0.065615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PF3D7_1451800",6.050888,0.811997,111.742904,88.321062,1.360559,19.587176,9.072326,100.742401,0.074102,0.514278,1.679991,1.629795,0.585917,3.908383,77.022508,117.633968,0.284851,0.019412,9.864168,0.174931,0.308442,140.905525,5.869302,152.656427,4.765115,28.334406,0.556677,37.632345,42.980102,5.732696,55.737428,78.845526
