ORF,AA01,AA02,AA03,AA04,AA05,AA06,AA07,AA08,AA09,AA10,AA11,AA12,AA13,AA14,AA15,AA16,AS01,AS02,AS03,AS04,AS05,AS06,AS07,AS08,AS09,AS10,AS11,AS12,AS13,AS14,AS15,AS16
PF3D7_1027700.1,6.964136,0.819017,8.020453,2.893809,19.169554,2.632003,2.111133,0.8579190000000001,9.313907,1.166194,17.335179999999998,1.9321150000000002,4.80612,16.088120999999997,3.2071669999999997,3.999317,6.972888,7.115286,1.504419,21.961577,3.230584,0.331808,7.886103,0.932682,0.0,8.531409,6.149237,3.950247,0.7118399999999999,21.62023,2.7324439999999997,3.077
PF3D7_1027700.2,0.0,0.819017,0.0,0.0,0.0,0.0,2.06563,0.8579190000000001,0.0,1.166194,0.0,0.0,0.0,0.0,3.2071669999999997,0.0,0.0,0.0,1.504419,0.0,0.0,0.331808,0.0,0.932682,0.0,0.0,0.0,0.0,0.7118399999999999,0.0,2.7324439999999997,0.0
PF3D7_1027800,1300.210095,1496.2793470000001,2055.508416,1804.473589,1387.832222,1974.799882,1371.553998,1309.598856,1447.4131009999999,1491.769932,1586.970491,1707.9712170000003,1068.177146,1539.232023,1803.384218,1466.004633,1249.878748,933.7194039999999,1509.485295,1429.198285,1364.890549,1504.975027,1281.713732,1393.976558,1149.125366,1362.8937859999999,1148.157494,1540.715217,1069.049956,1324.9515800000001,1266.885368,1681.474781
PF3D7_1027900,14.722660000000001,5.835324,10.892485,4.99443,25.308004,5.705568,2.131628,5.695086,11.969033999999999,6.075618,19.894078,4.30143,15.473569,13.592112,9.696044,10.023286,7.755265,14.595256,5.438365,8.409035000000001,5.1708110000000005,11.234967999999999,2.096849,2.3069349999999997,7.528047,4.93067,25.449264000000003,9.879588,7.682430999999999,11.206538,15.419942,1.536223
PF3D7_1028000,14.319571,13.02177,81.982963,45.763859000000004,9.429261,13.053151,10.901932,53.565555,5.269248999999999,5.8931949999999995,9.922701,35.851809,2.805139,6.331402,80.170381,105.469049,2.503274,11.315026,14.484656,12.934785,1.413506,134.477002,19.567467999999998,99.501032,7.269141,100.04203299999999,5.925276,94.771589,61.904959,9.039496,113.53676499999999,123.28869099999999
PF3D7_1028100,0.622638,0.050288,3.1063080000000003,0.10745199999999999,2.043959,0.11993499999999999,0.0,0.46949799999999997,0.45909700000000003,0.43389300000000003,1.591877,0.340789,0.604287,1.256248,2.089871,1.683054,0.313873,1.468742,0.178925,2.080166,0.094576,0.890443,1.127442,0.7080380000000001,0.0,3.6473839999999997,0.6701020000000001,5.089293,1.606603,1.5329030000000001,2.262734,0.272825
PF3D7_1028200,2.942124,1.122873,1.515775,0.6447579999999999,6.99805,1.332064,1.594113,0.657724,4.329228,2.81228,10.533336,0.649608,1.6784569999999999,4.861395,0.0,2.071059,3.724385,6.848249000000001,1.100113,7.254414,4.065907,1.047447,3.143612,1.463338,0.637475,0.372299,2.932559,3.9203339999999995,1.7085029999999999,6.565908,1.35581,0.270455
PF3D7_1028300,98.520158,62.563579000000004,75.919298,39.429349,43.063365999999995,96.421428,57.819157999999995,19.778408,62.005285,89.980526,69.570346,55.258005000000004,50.382705,69.05023,68.69033,119.572199,40.870682,33.186864,35.532542,255.62308,161.94571200000001,62.244661,107.059618,31.753931,74.509455,52.473843,62.421636,28.677062,26.555343,57.674748,41.229079,26.148345000000003
PF3D7_1028400,215.61364300000002,65.906456,74.719748,52.110892,63.711879,156.453904,133.069581,20.804525,96.201555,90.021096,131.191872,92.05301700000001,50.158172,84.573195,122.387522,99.459538,86.481183,28.031117,67.19239,204.847649,126.745108,84.308157,122.559207,39.588,138.578271,48.879325,72.17044399999999,17.657034,25.509016,69.888984,44.265345,33.932292
PF3D7_1028500,84.841766,48.075961,53.896958999999995,27.448302,63.3111,101.018586,76.13558,9.632817,55.289216,74.748936,83.850936,58.790245,41.922737,68.009764,49.282763,61.726364000000004,42.893329,21.521352,31.639442,128.879165,131.286903,35.182784000000005,72.952895,8.930319,98.149759,25.275632,45.054049,8.703308,12.825016,57.264306999999995,22.840298999999998,13.481339000000002
